from_section,to_section,edge_type
018,217,mentioned_dependency_or_related
018,218,mentioned_dependency_or_related
018,219,mentioned_dependency_or_related
018,220,mentioned_dependency_or_related
018,222,mentioned_dependency_or_related
018,226,mentioned_dependency_or_related
018,227,mentioned_dependency_or_related
018,246,mentioned_dependency_or_related
018,247,mentioned_dependency_or_related
018,251,mentioned_dependency_or_related
018,252,mentioned_dependency_or_related
018,253,mentioned_dependency_or_related
018,256,mentioned_dependency_or_related
018,257,mentioned_dependency_or_related
018,301,mentioned_dependency_or_related
018,306,mentioned_dependency_or_related
018,319,mentioned_dependency_or_related
018,326,mentioned_dependency_or_related
018,327,mentioned_dependency_or_related
018,330,mentioned_dependency_or_related
018,331,mentioned_dependency_or_related
018,332,mentioned_dependency_or_related
018,350,mentioned_dependency_or_related
018,374,mentioned_dependency_or_related
018,380,mentioned_dependency_or_related
018,381,mentioned_dependency_or_related
018,383,mentioned_dependency_or_related
018,389,mentioned_dependency_or_related
018,390,mentioned_dependency_or_related
018,397,mentioned_dependency_or_related
018,400,mentioned_dependency_or_related
018,405,mentioned_dependency_or_related
018,406,mentioned_dependency_or_related
019,001,mentioned_dependency_or_related
019,002,mentioned_dependency_or_related
019,003,mentioned_dependency_or_related
019,004,mentioned_dependency_or_related
019,005,mentioned_dependency_or_related
019,006,mentioned_dependency_or_related
019,007,mentioned_dependency_or_related
019,008,mentioned_dependency_or_related
019,009,mentioned_dependency_or_related
019,010,mentioned_dependency_or_related
019,011,mentioned_dependency_or_related
019,012,mentioned_dependency_or_related
019,013,mentioned_dependency_or_related
019,014,mentioned_dependency_or_related
019,015,mentioned_dependency_or_related
019,016,mentioned_dependency_or_related
019,017,mentioned_dependency_or_related
019,018,mentioned_dependency_or_related
019,020,mentioned_dependency_or_related
019,021,mentioned_dependency_or_related
019,022,mentioned_dependency_or_related
019,023,mentioned_dependency_or_related
019,024,mentioned_dependency_or_related
019,025,mentioned_dependency_or_related
019,026,mentioned_dependency_or_related
019,027,mentioned_dependency_or_related
019,028,mentioned_dependency_or_related
019,029,mentioned_dependency_or_related
019,030,mentioned_dependency_or_related
019,031,mentioned_dependency_or_related
019,032,mentioned_dependency_or_related
019,033,mentioned_dependency_or_related
019,041,mentioned_dependency_or_related
019,042,mentioned_dependency_or_related
019,044,mentioned_dependency_or_related
019,045,mentioned_dependency_or_related
019,046,mentioned_dependency_or_related
019,047,mentioned_dependency_or_related
019,048,mentioned_dependency_or_related
019,049,mentioned_dependency_or_related
